timestamp,date,hour,month,day_of_week,is_weekday,it_load_kw,cooling_power_kw,overhead_power_kw,total_facility_power_kw,pue,outside_temp_c,server_inlet_temp_c,humidity_pct,water_usage_litres,is_anomaly,wue,dcie_pct
2024-01-01 00:00:00,2024-01-01,0,1,Monday,1,895.62,307.49,65.4,1268.52,1.4164,-1.05,18.94,47.97,256.21,0,0.2861,70.6
2024-01-01 01:00:00,2024-01-01,1,1,Monday,1,876.57,277.92,63.89,1218.39,1.3899,-5.41,19.77,45.81,185.3,0,0.2114,71.95
2024-01-01 02:00:00,2024-01-01,2,1,Monday,1,900.15,260.32,62.19,1222.66,1.3583,-4.7,18.09,42.34,203.79,0,0.2264,73.62
2024-01-01 03:00:00,2024-01-01,3,1,Monday,1,926.41,355.21,63.19,1344.81,1.4516,-0.37,19.88,46.92,271.2,0,0.2927,68.89
2024-01-01 04:00:00,2024-01-01,4,1,Monday,1,873.69,259.9,60.9,1194.49,1.3672,-0.62,18.35,41.77,228.9,0,0.262,73.14
2024-01-01 05:00:00,2024-01-01,5,1,Monday,1,873.69,333.34,61.51,1268.55,1.4519,-0.19,20.65,37.31,255.41,0,0.2923,68.88
2024-01-01 06:00:00,2024-01-01,6,1,Monday,1,928.09,356.26,61.11,1345.46,1.4497,4.04,21.94,45.66,314.3,0,0.3387,68.98
2024-01-01 07:00:00,2024-01-01,7,1,Monday,1,903.74,365.79,60.0,1329.53,1.4711,3.68,19.17,40.28,328.76,0,0.3638,67.98
2024-01-01 08:00:00,2024-01-01,8,1,Monday,1,966.63,382.51,63.77,1412.92,1.4617,4.61,21.87,43.62,316.27,0,0.3272,68.41
2024-01-01 09:00:00,2024-01-01,9,1,Monday,1,996.99,412.71,61.81,1471.51,1.4759,7.1,22.07,47.91,402.36,0,0.4036,67.76
2024-01-01 10:00:00,2024-01-01,10,1,Monday,1,966.82,394.19,55.6,1416.6,1.4652,5.59,19.66,34.47,375.04,0,0.3879,68.25
2024-01-01 11:00:00,2024-01-01,11,1,Monday,1,966.75,434.35,62.64,1463.74,1.5141,9.98,20.72,43.14,396.4,0,0.41,66.05
2024-01-01 12:00:00,2024-01-01,12,1,Monday,1,987.98,382.68,61.24,1431.9,1.4493,5.43,21.62,40.23,346.28,0,0.3505,69.0
2024-01-01 13:00:00,2024-01-01,13,1,Monday,1,923.32,409.08,63.06,1395.46,1.5114,8.15,21.75,37.51,377.66,0,0.409,66.16
2024-01-01 14:00:00,2024-01-01,14,1,Monday,1,928.97,377.11,59.48,1365.56,1.47,9.21,18.82,45.17,344.92,0,0.3713,68.03
2024-01-01 15:00:00,2024-01-01,15,1,Monday,1,963.85,359.57,64.06,1387.47,1.4395,2.79,19.37,42.46,267.38,0,0.2774,69.47
2024-01-01 16:00:00,2024-01-01,16,1,Monday,1,950.33,379.92,59.69,1389.95,1.4626,3.82,21.15,48.07,316.62,0,0.3332,68.37
2024-01-01 17:00:00,2024-01-01,17,1,Monday,1,990.15,411.16,63.62,1464.92,1.4795,5.59,22.17,47.04,328.63,0,0.3319,67.59
2024-01-01 18:00:00,2024-01-01,18,1,Monday,1,953.48,377.53,57.72,1388.72,1.4565,4.32,20.96,47.77,321.26,0,0.3369,68.66
2024-01-01 19:00:00,2024-01-01,19,1,Monday,1,838.35,288.53,58.06,1184.95,1.4134,0.37,16.68,35.36,276.5,0,0.3298,70.75
2024-01-01 20:00:00,2024-01-01,20,1,Monday,1,924.69,325.9,63.01,1313.59,1.4206,-1.96,18.81,45.66,238.27,0,0.2577,70.39
2024-01-01 21:00:00,2024-01-01,21,1,Monday,1,873.94,295.58,58.34,1227.87,1.405,0.39,17.95,45.86,210.24,0,0.2406,71.17
2024-01-01 22:00:00,2024-01-01,22,1,Monday,1,882.74,344.36,71.03,1298.13,1.4706,0.05,20.59,38.76,293.18,0,0.3321,68.0
2024-01-01 23:00:00,2024-01-01,23,1,Monday,1,837.98,250.4,62.83,1151.21,1.3738,-5.15,17.56,44.33,178.72,0,0.2133,72.79
2024-01-02 00:00:00,2024-01-02,0,1,Tuesday,1,864.39,228.56,60.12,1153.07,1.334,-5.4,18.12,46.17,190.66,0,0.2206,74.96
