timestamp,month,month_name,hour,day_of_week,is_weekday,it_load_kw,cooling_power_kw,overhead_power_kw,total_facility_power_kw,pue,outside_temp_c,server_inlet_temp_c,humidity_pct,water_usage_litres,is_anomaly,wue,dcie_pct,temp_band
2024-06-18 19:00:00,6,Jun,19,Tuesday,1,1033.39,600.0,54.95,3034.23,2.9362,26.55,26.21,34.48,644.42,1,0.6236,34.06,> 25°C Hot
2024-06-06 13:00:00,6,Jun,13,Thursday,1,1120.2,600.0,64.52,3202.99,2.8593,33.38,22.97,49.79,633.99,1,0.566,34.97,> 25°C Hot
2024-06-12 11:00:00,6,Jun,11,Wednesday,1,1081.65,600.0,56.91,3083.77,2.851,31.68,25.53,46.31,633.63,1,0.5858,35.08,> 25°C Hot
2024-04-04 08:00:00,4,Apr,8,Thursday,1,1110.41,581.97,65.97,3101.36,2.793,25.25,26.26,50.53,593.6,1,0.5346,35.8,> 25°C Hot
2024-07-08 16:00:00,7,Jul,16,Monday,1,1145.47,600.0,63.08,3110.21,2.7152,31.78,23.35,41.7,644.92,1,0.563,36.83,> 25°C Hot
2024-08-05 11:00:00,8,Aug,11,Monday,1,1054.03,565.87,64.15,2846.44,2.7005,27.79,23.85,38.73,584.55,1,0.5546,37.03,> 25°C Hot
2024-06-04 22:00:00,6,Jun,22,Tuesday,1,1039.65,545.95,58.46,2799.04,2.6923,24.15,25.06,51.28,544.68,1,0.5239,37.14,15–25°C Warm
2024-07-25 03:00:00,7,Jul,3,Thursday,1,979.24,538.05,61.21,2597.18,2.6522,25.16,21.7,36.26,562.57,1,0.5745,37.7,> 25°C Hot
2024-09-06 05:00:00,9,Sep,5,Friday,1,998.7,457.96,64.86,2627.53,2.631,16.22,23.5,40.93,466.79,1,0.4674,38.01,15–25°C Warm
2024-06-15 12:00:00,6,Jun,12,Saturday,0,917.67,600.0,60.61,2387.66,2.6019,35.84,24.02,40.42,650.05,1,0.7084,38.43,> 25°C Hot
2024-06-26 14:00:00,6,Jun,14,Wednesday,1,1152.79,600.0,55.73,2982.63,2.5873,33.97,25.89,37.4,628.63,1,0.5453,38.65,> 25°C Hot
2024-12-16 01:00:00,12,Dec,1,Monday,1,904.95,336.27,62.62,2298.98,2.5404,-0.89,20.1,45.41,266.16,1,0.2941,39.36,< 5°C  Cold
2024-05-06 02:00:00,5,May,2,Monday,1,1024.99,542.03,67.89,2592.29,2.5291,22.35,25.08,53.33,545.54,1,0.5322,39.54,15–25°C Warm
2024-08-23 22:00:00,8,Aug,22,Friday,1,990.22,457.36,67.5,2463.78,2.4881,17.65,23.18,48.82,502.95,1,0.5079,40.19,15–25°C Warm
2024-07-02 01:00:00,7,Jul,1,Tuesday,1,1003.3,567.1,61.88,2461.58,2.4535,25.77,25.61,37.37,573.84,1,0.572,40.76,> 25°C Hot
2024-10-05 10:00:00,10,Oct,10,Saturday,0,881.46,401.26,57.04,2152.52,2.442,14.91,21.77,44.5,394.68,1,0.4478,40.95,5–15°C Mild
2024-09-18 16:00:00,9,Sep,16,Wednesday,1,1053.4,498.28,62.35,2570.37,2.4401,16.69,22.98,49.32,484.91,1,0.4603,40.98,15–25°C Warm
2024-01-06 08:00:00,1,Jan,8,Saturday,0,833.71,351.71,56.24,2019.27,2.422,4.37,20.33,32.71,315.11,1,0.378,41.29,< 5°C  Cold
2024-07-09 07:00:00,7,Jul,7,Tuesday,1,982.41,575.79,63.17,2379.25,2.4219,31.84,24.4,38.24,609.22,1,0.6201,41.29,> 25°C Hot
2024-04-03 09:00:00,4,Apr,9,Wednesday,1,1107.53,600.0,59.18,2646.37,2.3894,26.9,24.41,39.59,597.83,1,0.5398,41.85,> 25°C Hot
2024-09-21 04:00:00,9,Sep,4,Saturday,0,772.22,369.59,55.99,1817.37,2.3534,15.45,20.61,47.86,400.39,1,0.5185,42.49,15–25°C Warm
2024-09-12 12:00:00,9,Sep,12,Thursday,1,1106.06,567.6,63.8,2602.2,2.3527,21.14,24.35,51.81,541.44,1,0.4895,42.5,15–25°C Warm
2024-11-06 20:00:00,11,Nov,20,Wednesday,1,862.55,310.22,61.42,2024.31,2.3469,-0.42,17.96,43.98,244.93,1,0.284,42.61,< 5°C  Cold
2024-12-30 17:00:00,12,Dec,17,Monday,1,958.73,338.04,53.99,2244.44,2.341,2.34,20.88,53.34,304.4,1,0.3175,42.72,< 5°C  Cold
2024-11-22 01:00:00,11,Nov,1,Friday,1,915.69,276.93,59.36,2142.31,2.3396,-7.91,18.63,42.58,137.49,1,0.1501,42.74,< 5°C  Cold
2024-08-19 14:00:00,8,Aug,14,Monday,1,1089.12,581.09,63.9,2536.03,2.3285,27.97,25.35,47.1,571.23,1,0.5245,42.95,> 25°C Hot
2024-03-17 22:00:00,3,Mar,22,Sunday,0,837.97,410.57,61.76,1942.9,2.3186,11.59,22.14,51.03,361.33,1,0.4312,43.13,5–15°C Mild
2024-03-21 23:00:00,3,Mar,23,Thursday,1,939.7,443.04,64.68,2176.06,2.3157,12.71,22.99,48.87,413.04,1,0.4395,43.18,5–15°C Mild
2024-04-02 03:00:00,4,Apr,3,Tuesday,1,1008.14,502.06,67.14,2320.86,2.3021,18.6,23.36,46.72,472.07,1,0.4683,43.44,15–25°C Warm
2024-12-27 02:00:00,12,Dec,2,Friday,1,840.54,245.34,51.59,1921.15,2.2856,-4.82,18.23,43.03,166.18,1,0.1977,43.75,< 5°C  Cold
2024-11-25 20:00:00,11,Nov,20,Monday,1,872.48,304.99,55.44,1963.45,2.2504,-2.22,20.28,48.15,198.12,1,0.2271,44.44,< 5°C  Cold
2024-10-23 16:00:00,10,Oct,16,Wednesday,1,996.93,402.12,56.96,2233.65,2.2405,8.56,22.81,40.37,384.51,1,0.3857,44.63,5–15°C Mild
2024-02-07 00:00:00,2,Feb,0,Wednesday,1,927.72,318.39,58.89,2078.06,2.24,3.13,19.33,38.23,273.69,1,0.295,44.64,< 5°C  Cold
2024-10-11 22:00:00,10,Oct,22,Friday,1,892.66,331.35,64.55,1997.43,2.2376,5.28,19.8,47.68,314.34,1,0.3521,44.69,5–15°C Mild
2024-01-28 01:00:00,1,Jan,1,Sunday,0,751.6,240.19,62.34,1679.75,2.2349,-0.11,18.9,42.34,200.16,1,0.2663,44.74,< 5°C  Cold
2024-01-20 21:00:00,1,Jan,21,Saturday,0,740.06,235.78,60.27,1652.1,2.2324,-4.87,18.44,42.5,136.42,1,0.1843,44.79,< 5°C  Cold
2024-04-24 03:00:00,4,Apr,3,Wednesday,1,1015.62,511.89,53.57,2237.95,2.2035,18.1,22.68,49.17,475.68,1,0.4684,45.38,15–25°C Warm
2024-09-05 11:00:00,9,Sep,11,Thursday,1,1008.73,505.18,57.97,2215.78,2.1966,16.23,23.99,38.93,477.68,1,0.4735,45.52,15–25°C Warm
2024-07-26 11:00:00,7,Jul,11,Friday,1,1052.67,600.0,60.99,2289.32,2.1748,29.08,26.0,43.76,677.69,1,0.6438,45.98,> 25°C Hot
2024-11-27 05:00:00,11,Nov,5,Wednesday,1,880.98,306.96,61.41,1899.67,2.1563,2.46,18.1,49.89,235.54,1,0.2674,46.38,< 5°C  Cold
2024-03-19 02:00:00,3,Mar,2,Tuesday,1,989.31,419.98,59.42,2115.29,2.1381,11.29,21.22,42.05,389.77,1,0.394,46.77,5–15°C Mild
2024-05-14 17:00:00,5,May,17,Tuesday,1,1176.62,600.0,58.97,2487.52,2.1141,27.39,25.65,46.37,639.38,1,0.5434,47.3,> 25°C Hot
2024-05-30 22:00:00,5,May,22,Thursday,1,959.94,502.1,66.59,2017.79,2.102,22.29,22.21,52.52,528.54,1,0.5506,47.57,15–25°C Warm
2024-12-23 18:00:00,12,Dec,18,Monday,1,1025.92,330.33,56.2,2153.22,2.0988,-1.23,20.07,49.53,240.36,1,0.2343,47.65,< 5°C  Cold
2024-12-16 18:00:00,12,Dec,18,Monday,1,953.5,390.04,55.67,2000.98,2.0986,2.42,22.71,44.14,323.16,1,0.3389,47.65,< 5°C  Cold
2024-12-29 14:00:00,12,Dec,14,Sunday,0,914.73,364.33,61.02,1910.3,2.0884,3.63,20.75,49.05,340.85,1,0.3726,47.88,< 5°C  Cold
2024-12-28 05:00:00,12,Dec,5,Saturday,0,716.41,202.85,63.54,1485.23,2.0731,-2.92,17.22,41.11,160.1,1,0.2235,48.24,< 5°C  Cold
2024-11-21 10:00:00,11,Nov,10,Thursday,1,998.03,435.5,52.69,2054.25,2.0583,7.07,21.51,43.21,341.12,1,0.3418,48.58,5–15°C Mild
2024-11-06 10:00:00,11,Nov,10,Wednesday,1,966.98,401.61,57.41,1976.46,2.044,9.2,20.01,40.9,361.49,1,0.3738,48.92,5–15°C Mild
2024-01-04 20:00:00,1,Jan,20,Thursday,1,859.66,284.67,64.83,1611.8,1.8749,-3.82,17.7,50.58,230.86,1,0.2685,53.34,< 5°C  Cold
