month,month_name,avg_pue,best_pue,worst_pue,avg_it_load_kw,avg_cooling_kw,total_facility_mwh,anomaly_count,avg_wue,estimated_cost_usd
1,Jan,1.44,1.313,2.422,887.413,327.249,950.932,4,0.305,66565.0
2,Feb,1.481,1.36,2.24,917.385,380.151,945.441,1,0.371,66181.0
3,Mar,1.543,1.437,2.319,948.353,451.689,1088.184,3,0.459,76173.0
4,Apr,1.594,1.488,2.793,996.301,526.46,1142.985,4,0.536,80009.0
5,May,1.616,1.502,2.529,1026.423,567.305,1232.514,3,0.58,86276.0
6,Jun,1.634,1.543,2.936,1023.718,575.963,1202.371,6,0.598,84166.0
7,Jul,1.619,1.523,2.715,1026.118,566.833,1234.286,5,0.581,86400.0
8,Aug,1.595,1.501,2.7,990.505,524.246,1174.28,3,0.538,82200.0
9,Sep,1.546,1.441,2.631,950.331,452.865,1057.612,5,0.459,74033.0
10,Oct,1.484,1.384,2.442,916.004,380.007,1011.364,3,0.373,70795.0
11,Nov,1.442,1.313,2.347,882.466,325.312,916.832,6,0.304,64178.0
12,Dec,1.428,1.302,2.54,871.814,307.206,897.015,7,0.28,62791.0
